Sr. No.,Company Name,Package (LPA),Year(s),Fresher Role Offered,Company Tier,Eligible Branches,Role Requirement,Interview Rounds
20,Capgemini,4.0 - 7.5,2022–2024,Associate Consultant,Mass Recruiters,CSE & IT,"DBMS, Java/SQL, Reasoning","1. OA – Pseudocode, reasoning, English grammar
2. Interview – Project + General HR"
21,Wipro,3.5 - 7.5,2022,Project Engineer (Elite),Mass Recruiters,CSE & IT,"Java, OOPs, English Comprehension","1. OA – Java/OOPs, English comprehension
2. Tech – Basic project, OOP
3. HR – Situational"
22,Accenture,4.5 - 6.5,"2023, 2024",Software Engineer,Mass Recruiters,CSE & IT,"DSA, OOP, DBMS","1. OA – Aptitude + 2 Coding (Easy)
2. Interview – DBMS, Java, communication"
23,Adani Group,6 - 6.5,"2023, 2024",Graduate Engineer,Core Engg.,"Core, Circuit","Renewable Energy, PowerSys, Projects","1. Resume Shortlist
2. Tech – Energy systems, circuits
3. HR – Role fit"
24,Siemens,5.5 - 6,2024,Graduate Trainee,Core Engg.,"Circuit, Core","Electrical Basics, MATLAB, PLC","1. Resume Shortlist
2. Tech – MATLAB, PLC programming
3. HR – Growth mindset"
25,L&T,5.0 - 6.5,2022–2024,GET,Core Engg.,Core,"Mech/Civil Concepts, Drawing","1. Written Test – Domain MCQs
2. Tech – Civil/Mech concepts
3. HR – Relocation readiness"
26,Cognizant,4.0 - 6.8,2022–2024,GenC Next Associate,Mass Recruiters,CSE & IT,"Java/.NET, DBMS, Aptitude","1. OA – Aptitude + Tech MCQs
2. Tech – Java/.NET, DBMS
3. HR – Resume, team skills"
27,TCS,3.36 - 7.0,2022–2024,Ninja/Digital Engineer,Mass Recruiters,CSE & IT,"DSA, OOPs, Coding","1. NQT – Aptitude + Coding
2. Tech – Java/OOPs, SQL
3. HR – Self-intro, goals"
28,BNY Mellon,17,2022,Graduate Trainee (Tech),Mid-Tier Companies,CSE & IT,"DBMS, DSA, Python/Java","1. OA – Python/Java, DBMS, DSA
2. Tech – OOPs, projects
3. HR – Collaboration questions"
29,Tata Steel,5,2024,Graduate Engineer,Core Engg.,Core,"Mech/Chem Core Subjects, Safety","1. Resume
2. Tech – Mech/Chem core + Safety scenarios
3. HR – Industrial mindset"
30,IBM,4.5,2022–2024,Associate System Engineer,Mass Recruiters,CSE & IT,"Java/Python, DBMS, SDLC","1. OA – Aptitude + Coding
2. Tech – DBMS, Java/Python, SDLC
3. HR – Soft skills, projects"
